ID_Country,Country (short form),Country (official long form),Displayed Country in Databank,Displayed Country in Divestment Record,Displayed Country Region in Databank Level 1,Ranking of Country Region in Databank,Country Region Level 2,Country Region Level 2b (for Valuation),Country Region Level 3,Currency Code,Currency Name,Currency Symbol,loc_type_calcu
68,"Nigeria","Federal Republic of Nigeria","Nigeria","Nigeria","Africa",1,"Others","Other Markets","Others","NGN","Naira","₦","nonAsia"
69,"Iraq","Republic of Iraq","Iraq","Iraq","Middle East",5,"Middle East","Other Markets","Middle East","IQD","Dinar","ع.د","nonAsia"
70,"(Latin America)","(Latin America)","Latin America","Latin America","South America",7,"Others","Other Markets","Others",,,,"nonAsia"
71,"Poland","Republic of Poland","Poland","Poland","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","PLN","Polish Złoty","zł","nonAsia"
72,"Grenada","Grenada","Grenada","Grenada","Others",50,"Others","Other Markets","Others","XCD","East Caribbean dollar","$","nonAsia"
73,"Luxembourg","Grand Duchy of Luxembourg","Luxembourg","Luxembourg","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
74,"Portugal","Portuguese Republic","Portugal","Portugal","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
75,"Estonia","Republic of Estonia","Estonia","Estonia","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","EUR","Euro","€","nonAsia"
76,"Congo","Democratic Republic of the Congo","Congo","Congo","Africa",1,"Others","Other Markets","Others","CDF","Congolese franc","FC","nonAsia"
77,"Argentina","Argentine Republic","Argentina","Argentina","South America",7,"Others","Other Markets","Others","ARS","Argentine Peso","$","nonAsia"
78,"Latvia","Latvia","Latvia","Latvia","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","EUR","Euro","€","nonAsia"
79,"Slovenia","Republic of Slovenia","Slovenia","Slovenia","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","EUR","Euro","€","nonAsia"
80,"Ghana","Republic of Ghana","Ghana","Ghana","Africa",1,"Others","Other Markets","Others","GHS","Ghanaian cedi","GH₵","nonAsia"
81,"Zambia","Republic of Zambia","Zambia","Zambia","Africa",1,"Others","Other Markets","Others","ZMW","Zambian Kwacha",,"nonAsia"
83,"Greece","Greece (Hellenic Republic)","Greece","Greece","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","EUR","Euro","€","nonAsia"
84,"Chile","Republic of Chile","Chile","Chile","South America",7,"Others","Other Markets","Others","CLP","Chilean peso","$","nonAsia"
85,"Iceland","Iceland","Iceland","Iceland","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","ISK","Icelandic Krona",,"nonAsia"
86,"Uganda","Republic of Uganda","Uganda","Uganda","Africa",1,"Others","Other Markets","Others","UGX","Ugandan shilling",,"nonAsia"
87,"Colombia","Republic of Colombia","Colombia","Colombia","South America",7,"Others","Other Markets","Others","COP","Peso",,"nonAsia"
88,"Africa","Africa","Africa","Africa","Africa",1,"Others","Other Markets","Others",,,,"nonAsia"
89,"Ukraine","Ukraine","Ukraine","Ukraine","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","UAH","Ukrainian hryvnia","₴","nonAsia"
90,"Bahamas","Commonwealth of The Bahamas","Bahamas","Bahamas","Others",50,"Others","Other Markets","Others","BSD","Bahamian dollar",,"nonAsia"
91,"Czech","Czech Republic","Czech","Czech","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","CZK","Czech Koruna","Kč","nonAsia"
92,"Liechtenstein","Principality of Liechtenstein","Liechtenstein","Liechtenstein","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","CHF","Swiss franc","CHF","nonAsia"
93,"Egypt","Arab Republic of Egypt","Egypt","Egypt","Middle East",5,"Middle East","Other Markets","Middle East","EGP","Egyptian pound","E£","nonAsia"
94,"Lebanon","Lebanese Republic","Lebanon","Lebanon","Middle East",5,"Middle East","Other Markets","Middle East","LBP","Lebanese pound","ل.ل.","nonAsia"
95,"Malta","Republic of Malta","Malta","Malta","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","EUR","Euro","€","nonAsia"
96,"British Virgin Islands","British Virgin Islands","British Virgin Islands","British Virgin Islands","Others",50,"Others","Other Markets","Others","USD","Dollar","$","nonAsia"
97,"Cayman Islands","Cayman Islands","Cayman Islands","Cayman Islands","Others",50,"Others","Other Markets","Others","KYD","Cayman Islands dollar",,"nonAsia"
98,"Puerto Rico","Puerto Rico","Puerto Rico","Puerto Rico","Others",50,"Others","Other Markets","Others","USD","Dollar","$","nonAsia"
99,"Cyprus","Republic of Cyprus","Cyprus","Cyprus","Middle East",5,"Middle East","Other Markets","Middle East","EUR","Euro","€","nonAsia"
100,"Lithuania","Republic of Lithuania","Lithuania","Lithuania","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","EUR","Euro","€","nonAsia"
101,"Gibraltar","Gibraltar","Gibraltar","Gibraltar","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","GIP","Gibraltar pound","£","nonAsia"
102,"Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso","Africa",1,"Others","Other Markets","Others","XOF","franc",,"nonAsia"
103,"Mauritius","Republic of Mauritius","Mauritius","Mauritius","Africa",1,"Others","Other Markets","Others","MUR","Mauritian rupee",,"nonAsia"
104,"Slovakia","Slovak Republic","Slovakia","Slovakia","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","EUR","Euro","€","nonAsia"
105,"Seychelles","Republic of Seychelles","Seychelles","Seychelles","Africa",1,"Others","Other Markets","Others","SCR","Seychellois rupee",,"nonAsia"
106,"Qatar","State of Qatar","Qatar","Qatar","Middle East",5,"Middle East","Other Markets","Middle East","QAR","Qatari riyal","ريال قطري","nonAsia"
107,"Jordan","Hashemite Kingdom of Jordan","Jordan","Jordan","Middle East",5,"Middle East","Other Markets","Middle East","JOD","Jordanian dinar",,"nonAsia"
108,"Nicaragua","Republic of Nicaragua","Nicaragua","Nicaragua","Others",50,"Others","Other Markets","Others","NIO","Córdoba",,"nonAsia"
109,"Southeast Asia (for Case Study record only)","Southeast Asia (for Case Study record only)","Southeast Asia (for Case Study record only)","Southeast Asia","Southeast Asia",70,"Southeast Asia","Southeast Asia","Southeast Asia",,,,"Asia"
110,"Barbados","Barbados","Barbados","Barbados","Others",50,"Others","Other Markets","Others","BBD","Barbadian dollar","$","nonAsia"
