ID_Industry,Macro Industry,Industry,Sub-Industry,Ranking of Sub-Industry in MsAccess,Displayed Industry in Databank Level 1,Ranking of Industry in Databank level 1,Displayed Industry in Databank Level 2,Ranking of Industry in Databank level 2,(Old 20110803) Macro Industry,(Old 20110803) Industry,(Old 20110803) Sub-Industry,show_in_msaccess_menu_investmentdb,show_in_msaccess_menu_divestdb
148,"Banking & Finance",,"category for Divestment record only",100000001,"Banking & Finance",1,,,,,,0,1
149,"Consumer Goods",,"category for Divestment record only",100000002,"Consumer Goods",2,,,,,,0,1
150,"Energy/Natural Resources",,"category for Divestment record only",100000003,"Energy/Natural Resources",3,,,,,,0,1
151,"Food & Beverage",,"category for Divestment record only",100000004,"Food & Beverages",4,,,,,,0,1
152,"Healthcare",,"category for Divestment record only",100000005,"Healthcare",5,,,,,,0,1
153,"Industrial Manufacturing Goods",,"category for Divestment record only",100000006,"Industrial Manufacturing Goods",6,,,,,,0,1
154,"IT",,"category for Divestment record only",100000007,"IT",7,,,,,,0,1
155,"Logistics/Mobility",,"category for Divestment record only",100000008,"Logistics/Mobility",8,,,,,,0,1
156,"Media & Entertainment",,"category for Divestment record only",100000009,"Media & Entertainment",9,,,,,,0,1
157,"Real Estate",,"category for Divestment record only",100000010,"Real Estate",10,,,,,,0,1
158,"Services",,"category for Divestment record only",100000011,"Services",11,,,,,,0,1
159,"Telecommunications",,"category for Divestment record only",100000012,"Telecommunications",12,,,,,,0,1
160,,,,,,,,,,,,0,0
