ID_Year,Year_internal use,Ranking of Year in MsAccess,Displayed Year of Invest in Databank,Year_numeric_for_calculation
1,"Unknown year",1,"N/A",
2,"Pending (To be follow up)",2,"N/A",
209,"1962",263,"1962",1962
210,"1963",264,"1963",1963
211,"1964",265,"1964",1964
212,"1965",266,"1965",1965
213,"1966",267,"1966",1966
214,"1967",268,"1967",1967
215,"1968",269,"1968",1968
216,"1969",270,"1969",1969
217,"1970",271,"1970",1970
218,"1971",272,"1971",1971
219,"1972",273,"1972",1972
220,"1973",274,"1973",1973
221,"1974",275,"1974",1974
222,"1975",276,"1975",1975
223,"1976",277,"1976",1976
224,"1977",278,"1977",1977
225,"1978",279,"1978",1978
226,"1979",280,"1979",1979
227,"1764",100,"1764",1764
228,"2021",322,"2021",2021
229,"2022",323,"2022",2022
230,"2023",324,"2023",2023
231,"2024",325,"2024",2024
232,"2025",326,"2025",2025
233,"2026",327,"2026",2026
234,"2027",328,"2027",2027
235,"Deal withdrawn - deal disclosed or officially announced previously",4,"N/A",
236,"2028",329,"2028",2028
237,"2029",330,"2029",2029
238,"2030",331,"2030",2030
239,"2031",332,"2031",2031
240,"2032",333,"2032",2032
241,"2033",334,"2033",2033
242,"2034",335,"2034",2034
243,"2035",336,"2035",2035
244,"2036",337,"2036",2036
245,"2037",338,"2037",2037
246,"2038",339,"2038",2038
247,"2039",340,"2039",2039
248,"2040",341,"2040",2040
249,"2041",342,"2041",2041
250,"2042",343,"2042",2042
251,"2043",344,"2043",2043
252,"2044",345,"2044",2044
253,"2045",346,"2045",2045
254,"2046",347,"2046",2046
255,"2047",348,"2047",2047
256,"2048",349,"2048",2048
257,"2049",350,"2049",2049
258,"2050",351,"2050",2050
259,"2051",352,"2051",2051
260,"2052",353,"2052",2052
261,"2053",354,"2053",2053
262,"2054",355,"2054",2054
263,"2055",356,"2055",2055
264,"2056",357,"2056",2056
265,"2057",358,"2057",2057
266,"2058",359,"2058",2058
267,"2059",360,"2059",2059
268,"2060",361,"2060",2060
